WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
3320.0,3320,1,Cordillera Volcanica Central,Cordillera Volcanica Central,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,0.0,0.0,586.218994140625,588.71988320866,Not Applicable,0.0,Designated,1975,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
3316.0,3316,1,Los Santos,Los Santos,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,0.0,0.0,566.836975097656,569.255133683303,Not Applicable,0.0,Designated,1975,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-SJ,CRI,CRI,Not Applicable,Not Applicable
3317.0,3317,1,Golfo Dulce,Golfo Dulce,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,619.5909,0.092488010795798,619.5909,609.396278277721,Not Applicable,0.0,Designated,1978,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
3325.0,3325,1,Taboga,Taboga,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,0.0,0.0,2.96946001052856,2.98096046726713,Not Applicable,0.0,Designated,1978,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
555643540.0,555643540,1,Transilvania,Transilvania,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.0,0.0,0.633738994598389,0.636486117283193,Not Applicable,0.0,Designated,1998,Individual landowners,Individual landowners,Individual landowners,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
3319.0,3319,1,Grecia,Grecia,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,0.0,0.0,23.6121997833252,23.7127383584233,Not Applicable,0.0,Designated,1974,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
3315.0,3315,1,Rio Macho,Rio Macho,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,0.0,0.0,227.095993041992,228.06036499618,Not Applicable,0.0,Designated,1964,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-C,CRI,CRI,Not Applicable,Not Applicable
102369.0,102369,1,Pacuare Matina,Pacuare Matina,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,4.9704,3.15320799563966e-06,4.97037982940674,4.99076124174623,Not Applicable,0.0,Designated,1973,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
555643536.0,555643536,1,Quillotro,Quillotro,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.0,0.0,0.664960980415344,0.667860310727143,Not Applicable,0.0,Designated,2012,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
3323.0,3323,1,Zona de Emergencia Volcan Arenal,Zona de Emergencia Volcan Arenal,Reserva Forestal,Biological Reserve,National,VI,Not Applicable,0,0.0,0.0,2.23291993141174,2.24205612892862,Not Applicable,0.0,Designated,1969,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
